"filename", "language", "Markdown", "JavaScript", "PostCSS", "JSON", "JavaScript JSX", "HTML", "comment", "blank", "total"
"c:\Users\aiden\OneDrive\Desktop\linktree\README.md", "Markdown", 13, 0, 0, 0, 0, 0, 0, 10, 23
"c:\Users\aiden\OneDrive\Desktop\linktree\backend\configurations\config.json", "JSON", 0, 0, 0, 45, 0, 0, 0, 0, 45
"c:\Users\aiden\OneDrive\Desktop\linktree\backend\database_installer.js", "JavaScript", 0, 26, 0, 0, 0, 0, 3, 9, 38
"c:\Users\aiden\OneDrive\Desktop\linktree\backend\index.js", "JavaScript", 0, 46, 0, 0, 0, 0, 7, 16, 69
"c:\Users\aiden\OneDrive\Desktop\linktree\backend\package-lock.json", "JSON", 0, 0, 0, 987, 0, 0, 0, 1, 988
"c:\Users\aiden\OneDrive\Desktop\linktree\backend\package.json", "JSON", 0, 0, 0, 22, 0, 0, 0, 1, 23
"c:\Users\aiden\OneDrive\Desktop\linktree\backend\routes\addEmail.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 10, 39
"c:\Users\aiden\OneDrive\Desktop\linktree\backend\routes\mail\optout\optout.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 9, 39
"c:\Users\aiden\OneDrive\Desktop\linktree\backend\routes\mail\optout\send_optout.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 14, 47
"c:\Users\aiden\OneDrive\Desktop\linktree\backend\routes\mail\send\sendMail.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 14, 57
"c:\Users\aiden\OneDrive\Desktop\linktree\backend\routes\stats\getListUsers.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 8, 29
"c:\Users\aiden\OneDrive\Desktop\linktree\backend\util\config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\aiden\OneDrive\Desktop\linktree\backend\util\database.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 7, 35
"c:\Users\aiden\OneDrive\Desktop\linktree\backend\util\email.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 7, 36
"c:\Users\aiden\OneDrive\Desktop\linktree\backend\util\security\code_generation.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\aiden\OneDrive\Desktop\linktree\frontend\eslint.config.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 2, 30
"c:\Users\aiden\OneDrive\Desktop\linktree\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\Users\aiden\OneDrive\Desktop\linktree\frontend\package-lock.json", "JSON", 0, 0, 0, 4434, 0, 0, 0, 1, 4435
"c:\Users\aiden\OneDrive\Desktop\linktree\frontend\package.json", "JSON", 0, 0, 0, 34, 0, 0, 0, 1, 35
"c:\Users\aiden\OneDrive\Desktop\linktree\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 0, 9, 38
"c:\Users\aiden\OneDrive\Desktop\linktree\frontend\src\components\effects\fire.jsx", "JavaScript JSX", 0, 0, 0, 0, 47, 0, 0, 7, 54
